          0.00000000       1825.19247695        164.83924861       1660.35322834          5.31739512        316.58071625          1.01866241          1.01866241          0.53125000
          0.00100000       1812.88767092        539.59538945       1273.29228147         17.40630289        572.59305459          1.01866241          1.01866241          0.53125000
          0.00200000       1806.95612241        954.32861548        852.62750692         30.78479405        757.04279665          1.01866241          1.01866241          0.53125000
          0.00300000       1807.37428657       1291.70250924        515.67177733         41.66782288        880.62138667          1.01866241          1.01866241          0.53125000
          0.00400000       1810.07152639       1524.44950156        285.62202483         49.17579037        960.77991410          1.01866241          1.01866241          0.53125000
          0.00500000       1812.66518543       1670.34349065        142.32169478         53.88204809       1012.98202606          1.01866241          1.01866241          0.53125000
          0.00600000       1814.51226522       1755.73993747         58.77232775         56.63677218       1048.40885445          1.01866241          1.01866241          0.53125000
          0.00700000       1815.67127546       1801.79477461         13.87650085         58.12241208       1074.51309585          1.01866241          1.01866241          0.53125000
          0.00800000       1816.34500183       1822.49835029         -6.15334845         58.79026936       1096.18028001          1.01866241          1.01866241          0.53125000
          0.00900000       1816.70589143       1826.21920037         -9.51330894         58.91029679       1116.71563404          1.01866241          1.01866241          0.53125000
          0.01000000       1816.86971573       1817.54670186         -0.67698613         58.63053877       1138.52979648          1.01866241          1.01866241          0.53125000
          0.01100000       1816.90814409       1798.65794504         18.25019906         58.02122403       1163.58345157          1.01866241          1.01866241          0.53125000
          0.01200000       1816.86556867       1770.20955199         46.65601668         57.10353394       1193.66973764          1.01866241          1.01866241          0.53125000
          0.01300000       1816.77167228       1731.92165150         84.85002078         55.86844037       1230.59009766          1.01866241          1.01866241          0.53125000
          0.01400000       1816.65409693       1682.98942346        133.66467347         54.28998140       1276.25448271          1.01866241          1.01866241          0.53125000
          0.01500000       1816.54365071       1622.47391388        194.06973682         52.33786819       1332.71348143          1.01866241          1.01866241          0.53125000
          0.01600000       1816.47993519       1549.77091190        266.70902329         49.99261006       1402.11275762          1.01866241          1.01866241          0.53125000
          0.01700000       1816.51341302       1465.19166556        351.32174746         47.26424728       1486.54999115          1.01866241          1.01866241          0.53125000
          0.01800000       1816.69784905       1370.66867947        446.02916957         44.21511869       1587.81296583          1.01866241          1.01866241          0.53125000
          0.01900000       1817.07082275       1270.45662043        546.61420232         40.98247163       1706.99520879          1.01866241          1.01866241          0.53125000
          0.02000000       1817.62301610       1171.53477825        646.08823785         37.79144446       1844.03147279          1.01866241          1.01866241          0.53125000
          0.02100000       1818.26997146       1083.28970778        734.98026369         34.94482928       1997.26587365          1.01866241          1.01866241          0.53125000
          0.02200000       1818.85295668       1016.13501066        802.71794602         32.77854873       2163.23014585          1.01866241          1.01866241          0.50000000
          0.02300000       1819.18996270        979.15308972        840.03687298         31.58558354       2336.80973829          1.01866241          1.01866241          0.50000000
          0.02400000       1819.16173886        977.50396207        841.65777679         31.53238587       2511.86363880          1.01866241          1.01866241          0.50000000
          0.02500000       1818.77698562       1010.76292515        808.01406047         32.60525565       2682.16741494          1.01866241          1.01866241          0.50000000
          0.02600000       1818.16582746       1073.04160154        745.12422592         34.61424521       2842.38548657          1.01866241          1.01866241          0.50000000
          0.02700000       1817.50776112       1154.80925448        662.69850664         37.25191143       2988.76696242          1.01866241          1.01866241          0.50000000
          0.02800000       1816.95069395       1245.46866703        571.48202693         40.17640861       3119.40584789          1.01866241          1.01866241          0.50000000
          0.02900000       1816.56443677       1335.56835455        480.99608222         43.08285015       3234.10074512          1.01866241          1.01866241          0.50000000
          0.03000000       1816.35239780       1418.00879419        398.34360361         45.74221917       3333.97557943          1.01866241          1.01866241          0.50000000
          0.03100000       1816.27422257       1488.24998556        328.02423700         48.00806405       3421.03674502          1.01866241          1.01866241          0.50000000
          0.03200000       1816.27751026       1543.87584040        272.40166986         49.80244646       3497.78916491          1.01866241          1.01866241          0.50000000
          0.03300000       1816.31610195       1583.91044792        232.40565403         51.09388542       3566.96370953          1.01866241          1.01866241          0.50000000
          0.03400000       1816.35751093       1608.17774779        208.17976314         51.87670154       3631.35647511          1.01866241          1.01866241          0.50000000
          0.03500000       1816.38424986       1616.83134008        199.55290978         52.15584968       3693.75387690          1.01866241          1.01866241          0.50000000
          0.03600000       1816.39227081       1610.08953557        206.30273524         51.93837212       3756.90917059          1.01866241          1.01866241          0.50000000
          0.03700000       1816.39017925       1588.16874804        228.22143121         51.23124994       3823.53627330          1.01866241          1.01866241          0.50000000
          0.03800000       1816.39838521       1551.39999300        264.99839221         50.04516106       3896.28895234          1.01866241          1.01866241          0.50000000
          0.03900000       1816.44821718       1500.51665796        315.93155922         48.40376316       3977.69569352          1.01866241          1.01866241          0.50000000
          0.04000000       1816.57758804       1437.08612644        379.49146160         46.35761698       4070.02449479          1.01866241          1.01866241          0.50000000
          0.04100000       1816.82111396       1364.01186976        452.80924420         44.00038290       4175.06295242          1.01866241          1.01866241          0.50000000
          0.04200000       1817.19287178       1285.94977507        531.24309671         41.48225081       4293.82342130          1.01866241          1.01866241          0.50000000
          0.04300000       1817.66622441       1209.39194437        608.27428004         39.01264337       4426.22346516          1.01866241          1.01866241          0.50000000
          0.04400000       1818.16255841       1142.15161044        676.01094797         36.84360034       4570.83858922          1.01866241          1.01866241          0.50000000
          0.04500000       1818.56360070       1092.12879996        726.43480075         35.22996129       4724.85099968          1.01866241          1.01866241          0.50000000
          0.04600000       1818.75135395       1065.56552594        753.18582801         34.37308148       4884.29196373          1.01866241          1.01866241          0.50000000
          0.04700000       1818.65801428       1065.35811967        753.29989461         34.36639096       5044.58518403          1.01866241          1.01866241          0.50000000
